timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734780116366,51,HTTP Request,404,Not Found,Thread Group 1-4,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780116392,25,HTTP Request-1,404,Not Found,Thread Group 1-4,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780116418,51,HTTP Request,404,Not Found,Thread Group 1-4,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780116444,25,HTTP Request-1,404,Not Found,Thread Group 1-4,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780116552,170,HTTP Request,404,Not Found,Thread Group 1-5,text,False,,2671,252,1,1,https://www.ardacanuysal.com/arda,52,0,26
1734780116606,116,HTTP Request-1,404,Not Found,Thread Group 1-5,text,False,,1709,126,1,1,https://www.ardacanuysal.com/arda,116,0,69
1734780116722,54,HTTP Request,404,Not Found,Thread Group 1-5,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780116749,27,HTTP Request-1,404,Not Found,Thread Group 1-5,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780116777,83,HTTP Request,404,Not Found,Thread Group 1-5,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,40,0,0
1734780116818,42,HTTP Request-1,404,Not Found,Thread Group 1-5,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,42,0,0
1734780116860,52,HTTP Request,404,Not Found,Thread Group 1-5,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780116886,26,HTTP Request-1,404,Not Found,Thread Group 1-5,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780116912,63,HTTP Request,404,Not Found,Thread Group 1-5,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,35,0,0
1734780116947,28,HTTP Request-1,404,Not Found,Thread Group 1-5,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,28,0,0
1734780116976,59,HTTP Request,404,Not Found,Thread Group 1-5,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,28,0,0
1734780117004,31,HTTP Request-1,404,Not Found,Thread Group 1-5,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,31,0,0
1734780117051,151,HTTP Request,404,Not Found,Thread Group 1-6,text,False,,2671,252,1,1,https://www.ardacanuysal.com/arda,58,0,26
1734780117110,92,HTTP Request-1,404,Not Found,Thread Group 1-6,text,False,,1709,126,1,1,https://www.ardacanuysal.com/arda,91,0,65
1734780117202,52,HTTP Request,404,Not Found,Thread Group 1-6,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780117228,26,HTTP Request-1,404,Not Found,Thread Group 1-6,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780117254,58,HTTP Request,404,Not Found,Thread Group 1-6,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,28,0,0
1734780117282,30,HTTP Request-1,404,Not Found,Thread Group 1-6,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,30,0,0
1734780117312,53,HTTP Request,404,Not Found,Thread Group 1-6,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780117338,27,HTTP Request-1,404,Not Found,Thread Group 1-6,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780117366,57,HTTP Request,404,Not Found,Thread Group 1-6,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780117394,29,HTTP Request-1,404,Not Found,Thread Group 1-6,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,29,0,0
1734780117425,55,HTTP Request,404,Not Found,Thread Group 1-6,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780117453,27,HTTP Request-1,404,Not Found,Thread Group 1-6,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780117550,152,HTTP Request,404,Not Found,Thread Group 1-7,text,False,,2671,252,1,1,https://www.ardacanuysal.com/arda,55,0,28
1734780117606,96,HTTP Request-1,404,Not Found,Thread Group 1-7,text,False,,1709,126,1,1,https://www.ardacanuysal.com/arda,95,0,69
1734780117702,90,HTTP Request,404,Not Found,Thread Group 1-7,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,49,0,0
1734780117752,40,HTTP Request-1,404,Not Found,Thread Group 1-7,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,40,0,0
1734780117793,103,HTTP Request,404,Not Found,Thread Group 1-7,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,65,0,0
1734780117858,38,HTTP Request-1,404,Not Found,Thread Group 1-7,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,38,0,0
1734780117896,78,HTTP Request,404,Not Found,Thread Group 1-7,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,44,0,0
1734780117940,34,HTTP Request-1,404,Not Found,Thread Group 1-7,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,34,0,0
1734780117974,60,HTTP Request,404,Not Found,Thread Group 1-7,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,29,0,0
1734780118003,31,HTTP Request-1,404,Not Found,Thread Group 1-7,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,31,0,0
1734780118035,59,HTTP Request,404,Not Found,Thread Group 1-7,text,False,,2493,252,2,2,https://www.ardacanuysal.com/arda,30,0,0
1734780118065,29,HTTP Request-1,404,Not Found,Thread Group 1-7,text,False,,1531,126,2,2,https://www.ardacanuysal.com/arda,29,0,0
1734780118049,147,HTTP Request,404,Not Found,Thread Group 1-8,text,False,,2671,252,1,1,https://www.ardacanuysal.com/arda,53,0,27
1734780118103,93,HTTP Request-1,404,Not Found,Thread Group 1-8,text,False,,1709,126,1,1,https://www.ardacanuysal.com/arda,93,0,68
1734780118197,71,HTTP Request,404,Not Found,Thread Group 1-8,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,46,0,0
1734780118243,25,HTTP Request-1,404,Not Found,Thread Group 1-8,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780118268,51,HTTP Request,404,Not Found,Thread Group 1-8,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780118294,25,HTTP Request-1,404,Not Found,Thread Group 1-8,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780118320,56,HTTP Request,404,Not Found,Thread Group 1-8,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,30,0,0
1734780118350,26,HTTP Request-1,404,Not Found,Thread Group 1-8,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780118377,54,HTTP Request,404,Not Found,Thread Group 1-8,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780118404,27,HTTP Request-1,404,Not Found,Thread Group 1-8,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780118432,53,HTTP Request,404,Not Found,Thread Group 1-8,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780118459,26,HTTP Request-1,404,Not Found,Thread Group 1-8,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780118551,140,HTTP Request,404,Not Found,Thread Group 1-9,text,False,,2671,252,1,1,https://www.ardacanuysal.com/arda,51,0,25
1734780118603,88,HTTP Request-1,404,Not Found,Thread Group 1-9,text,False,,1709,126,1,1,https://www.ardacanuysal.com/arda,87,0,63
1734780118691,63,HTTP Request,404,Not Found,Thread Group 1-9,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780118717,37,HTTP Request-1,404,Not Found,Thread Group 1-9,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,37,0,0
1734780118754,53,HTTP Request,404,Not Found,Thread Group 1-9,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780118780,27,HTTP Request-1,404,Not Found,Thread Group 1-9,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780118808,56,HTTP Request,404,Not Found,Thread Group 1-9,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780118836,28,HTTP Request-1,404,Not Found,Thread Group 1-9,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,28,0,0
1734780118865,50,HTTP Request,404,Not Found,Thread Group 1-9,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780118890,25,HTTP Request-1,404,Not Found,Thread Group 1-9,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780118916,52,HTTP Request,404,Not Found,Thread Group 1-9,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780118942,26,HTTP Request-1,404,Not Found,Thread Group 1-9,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780119051,155,HTTP Request,404,Not Found,Thread Group 1-10,text,False,,2671,252,1,1,https://www.ardacanuysal.com/arda,52,0,27
1734780119106,100,HTTP Request-1,404,Not Found,Thread Group 1-10,text,False,,1709,126,1,1,https://www.ardacanuysal.com/arda,100,0,75
1734780119206,63,HTTP Request,404,Not Found,Thread Group 1-10,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,38,0,0
1734780119245,24,HTTP Request-1,404,Not Found,Thread Group 1-10,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,24,0,0
1734780119269,50,HTTP Request,404,Not Found,Thread Group 1-10,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780119294,25,HTTP Request-1,404,Not Found,Thread Group 1-10,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780119320,80,HTTP Request,404,Not Found,Thread Group 1-10,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780119347,53,HTTP Request-1,404,Not Found,Thread Group 1-10,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,53,0,0
