timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729937009652,3683,HTTP Request,200,OK,Thread Group 1-24,text,true,,273495,282,300,300,https://www.trendyol.com/butik/liste/11/kozmetik,184,0,70
1729937009652,184,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,1211,141,300,300,http://www.trendyol.com/butik/liste/11/kozmetik,184,0,70
1729937009840,3495,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,272284,141,300,300,https://www.trendyol.com/butik/liste/11/kozmetik,1614,0,305
1729937009726,3727,HTTP Request,200,OK,Thread Group 1-49,text,true,,273507,282,299,299,https://www.trendyol.com/butik/liste/11/kozmetik,252,0,90
1729937009726,252,HTTP Request-0,301,Moved Permanently,Thread Group 1-49,text,true,,1209,141,299,299,http://www.trendyol.com/butik/liste/11/kozmetik,252,0,90
1729937009979,3474,HTTP Request-1,200,OK,Thread Group 1-49,text,true,,272298,141,299,299,https://www.trendyol.com/butik/liste/11/kozmetik,1480,0,242
1729937009690,4694,HTTP Request,200,OK,Thread Group 1-36,text,true,,273464,282,298,298,https://www.trendyol.com/butik/liste/11/kozmetik,173,0,66
1729937009690,173,HTTP Request-0,301,Moved Permanently,Thread Group 1-36,text,true,,1211,141,298,298,http://www.trendyol.com/butik/liste/11/kozmetik,173,0,66
1729937009864,4520,HTTP Request-1,200,OK,Thread Group 1-36,text,true,,272253,141,298,298,https://www.trendyol.com/butik/liste/11/kozmetik,1482,0,345
1729937009721,4672,HTTP Request,200,OK,Thread Group 1-47,text,true,,273469,282,297,297,https://www.trendyol.com/butik/liste/11/kozmetik,164,0,85
1729937009721,164,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,1209,141,297,297,http://www.trendyol.com/butik/liste/11/kozmetik,164,0,85
1729937009886,4507,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,272260,141,297,297,https://www.trendyol.com/butik/liste/11/kozmetik,1504,0,332
1729937009744,4828,HTTP Request,200,OK,Thread Group 1-55,text,true,,273469,282,296,296,https://www.trendyol.com/butik/liste/11/kozmetik,232,0,73
1729937009744,232,HTTP Request-0,301,Moved Permanently,Thread Group 1-55,text,true,,1209,141,296,296,http://www.trendyol.com/butik/liste/11/kozmetik,232,0,73
1729937009977,4595,HTTP Request-1,200,OK,Thread Group 1-55,text,true,,272260,141,296,296,https://www.trendyol.com/butik/liste/11/kozmetik,1529,0,244
1729937009635,5562,HTTP Request,200,OK,Thread Group 1-19,text,true,,273468,282,295,295,https://www.trendyol.com/butik/liste/11/kozmetik,198,0,79
1729937009635,198,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,1209,141,295,295,http://www.trendyol.com/butik/liste/11/kozmetik,198,0,79
